"","Team","Date","TOI","CF","CA","CF60","CA60","CF%","C+/-"
"464","ANA","2011-03-24",41.7,31.24,36.59,44.95,52.65,46.06,-5.35
"465","ANA","2011-03-23",45.79,34.66,39.84,45.42,52.2,46.53,-5.17
"466","ANA","2011-03-20",47.62,31.99,60.42,40.3,76.13,34.61,-28.44
"467","ANA","2011-03-19",42.2,38.21,46.67,54.32,66.35,45.01,-8.46
"468","ANA","2011-03-16",49.44,39.9,55.84,48.43,67.77,41.68,-15.94
"469","ANA","2011-03-13",46.36,31.27,54.82,40.48,70.95,36.32,-23.55
"470","ANA","2011-03-11",43.24,36.52,29.12,50.68,40.41,55.64,7.4
"471","ANA","2011-03-09",47.96,49.5,46.27,61.92,57.89,51.68,3.23
"472","ANA","2011-03-06",46.22,25.75,34.44,33.42,44.7,42.78,-8.69
"473","ANA","2011-03-04",46.01,31.04,33.89,40.47,44.2,47.8,-2.86
"474","ANA","2011-03-02",39.78,26.82,49.09,40.46,74.04,35.34,-22.26
"475","ANA","2011-02-27",45.18,27.37,42.07,36.35,55.87,39.42,-14.7
"476","ANA","2011-02-25",43.19,51.42,32.99,71.43,45.83,60.92,18.43
"477","ANA","2011-02-23",55.47,34.99,53.49,37.84,57.86,39.54,-18.5
